,Buurtnaam,Buurtcode,age,house_type,edu,feeling_safe,nuisance,pop_density,offices,shops,facilities,horeca,creative,tourism,single_rate,water_perc,avg_income,home_value,perc_westers,perc_man,avg_pp_household,crime_index,party
37,Alfa-driehoek,3631001,1,1,2,1,1,0,1,0,0,0,0,0,2,0,0,1,1,2,0,1,D66
38,Petroleumhaven,3631002,2,1,2,1,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,D66
39,Vervoerscentrum,3631004,2,1,2,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,D66
40,Westhaven Noord,3631003,2,1,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,D66
41,Westhaven Zuid,3631007,1,1,2,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,D66
42,Amerikahaven,3631005,2,1,2,1,1,0,0,0,0,0,0,0,2,1,0,1,2,2,0,1,D66
43,Afrikahaven,3631006,2,1,2,1,1,2,0,0,0,0,0,0,2,1,0,1,2,0,1,1,D66
44,Houthavens Oost,3631201,2,1,2,1,1,2,1,0,0,0,1,0,1,2,0,1,2,1,0,1,GROENLINKS
45,Houthavens West,3631200,1,2,2,1,1,0,0,0,0,1,0,0,1,2,0,1,2,1,0,1,GROENLINKS
46,Zeeheldenbuurt,3631300,1,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
47,Spaarndammerbuurt Zuidoost,3631302,2,0,2,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,GROENLINKS
48,Spaarndammerbuurt Noordoost,3631301,2,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,GROENLINKS
49,Spaarndammerbuurt Zuidwest,3631303,2,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,GROENLINKS
50,Spaarndammerbuurt Noordwest,3631305,1,0,2,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,GROENLINKS
51,Spaarndammerbuurt Midden,3631304,1,0,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,GROENLINKS
52,Westergasfabriek,3631306,2,2,2,1,1,0,0,0,0,1,0,0,2,0,1,1,1,0,0,1,GROENLINKS
53,Overbraker Binnenpolder,3631307,2,2,2,1,1,0,0,0,0,1,0,0,2,0,1,1,2,0,0,1,GROENLINKS
54,Woon- en Groengebied Sloterdijk,3633600,1,2,2,1,1,0,0,0,0,1,0,0,2,0,1,1,2,1,0,1,GROENLINKS
